symbol,timestamp,open,high,low,close,volume,sentiment_score
AAPL,2025-07-01 09:30:00,146.63,147.18,146.48,146.69,4926,0.0
AAPL,2025-07-01 09:31:00,147.99,149.05,147.66,147.66,1269,0.0
AAPL,2025-07-01 09:32:00,147.45,148.3,147.08,147.75,2547,0.0
AAPL,2025-07-01 09:33:00,146.54,147.39,146.45,146.52,2399,0.0
AAPL,2025-07-01 09:34:00,143.81,143.98,142.62,143.18,2935,0.0
AAPL,2025-07-01 09:35:00,143.91,145.27,143.4,144.28,1863,0.0
AAPL,2025-07-01 09:36:00,143.48,143.69,142.5,143.25,2085,0.0
AAPL,2025-07-01 09:37:00,145.03,145.47,143.0,144.35,2000,0.0
AAPL,2025-07-01 09:38:00,145.04,146.41,143.79,145.01,4298,0.0
AAPL,2025-07-01 09:39:00,148.08,148.12,147.18,147.6,1378,0.0
AAPL,2025-07-01 09:40:00,143.59,144.9,143.72,144.29,564,0.0
AAPL,2025-07-01 09:41:00,145.04,145.82,144.6,144.71,891,0.0
AAPL,2025-07-01 09:42:00,141.69,142.75,141.84,142.31,3604,0.0
AAPL,2025-07-01 09:43:00,142.0,142.12,141.29,141.46,3273,0.0
AAPL,2025-07-01 09:44:00,144.23,144.99,143.62,144.24,4993,0.0
AAPL,2025-07-01 09:45:00,146.12,147.87,145.86,146.56,1984,0.0
AAPL,2025-07-01 09:46:00,152.24,152.2,151.73,151.85,2178,0.0
AAPL,2025-07-01 09:47:00,154.23,154.6,153.19,153.64,3657,0.0
AAPL,2025-07-01 09:48:00,153.95,154.18,152.11,153.35,1863,0.0
AAPL,2025-07-01 09:49:00,151.06,150.86,149.48,150.45,3802,0.0
AAPL,2025-07-01 09:50:00,147.45,148.04,147.36,147.86,4913,0.0
AAPL,2025-07-01 09:51:00,145.98,147.21,145.8,146.39,3945,0.0
AAPL,2025-07-01 09:52:00,146.69,146.59,144.92,146.38,3957,0.0
AAPL,2025-07-01 09:53:00,146.33,146.4,145.92,146.33,4597,0.0
AAPL,2025-07-01 09:54:00,145.72,146.6,144.93,145.79,2207,0.0
AAPL,2025-07-01 09:55:00,146.32,147.77,146.16,146.7,3755,0.0
AAPL,2025-07-01 09:56:00,150.33,151.62,149.8,150.85,1108,0.0
AAPL,2025-07-01 09:57:00,155.36,155.11,154.29,155.08,3311,0.0
AAPL,2025-07-01 09:58:00,156.97,157.94,155.81,157.13,3476,0.0
AAPL,2025-07-01 09:59:00,153.62,153.67,153.05,153.32,4561,0.0
AAPL,2025-07-01 10:00:00,153.48,154.74,153.1,153.39,4223,0.0
AAPL,2025-07-01 10:01:00,154.93,155.96,153.21,154.58,2182,0.0
AAPL,2025-07-01 10:02:00,156.78,157.43,155.94,156.52,1945,0.0
AAPL,2025-07-01 10:03:00,159.57,160.62,159.48,160.36,2700,0.0
AAPL,2025-07-01 10:04:00,162.97,164.57,163.46,163.76,660,0.0
AAPL,2025-07-01 10:05:00,168.39,169.08,167.97,168.13,1718,0.0
AAPL,2025-07-01 10:06:00,163.54,165.04,162.85,163.56,3936,0.0
AAPL,2025-07-01 10:07:00,161.65,161.44,160.26,161.06,1459,0.0
AAPL,2025-07-01 10:08:00,165.81,166.33,164.4,165.86,1743,0.0
AAPL,2025-07-01 10:09:00,167.93,167.93,165.6,167.21,1560,0.0
